"","ObservationDate","Confirmed","Recovered","Deaths","Active"
"1","01/22/2020",547,28,17,502
"2","01/23/2020",639,30,18,591
"3","01/24/2020",916,36,26,854
"4","01/25/2020",1399,39,42,1318
"5","01/26/2020",2062,49,56,1957
"6","01/27/2020",2863,58,82,2723
"7","01/28/2020",5494,101,131,5262
"8","01/29/2020",6070,120,133,5817
"9","01/30/2020",8124,135,171,7818
"10","01/31/2020",9783,214,213,9356
"11","02/01/2020",11871,275,259,11337
"12","02/02/2020",16607,463,361,15783
"13","02/03/2020",19693,614,425,18654
"14","02/04/2020",23680,843,490,22347
"15","02/05/2020",27409,1115,562,25732
"16","02/06/2020",30553,1476,632,28445
"17","02/07/2020",34075,1998,717,31360
"18","02/08/2020",36778,2595,804,33379
"19","02/09/2020",39790,3218,904,35668
"20","02/10/2020",42306,3917,1011,37378
"21","02/11/2020",44327,4635,1111,38581
"22","02/12/2020",44699,5079,1116,38504
"23","02/13/2020",59832,6213,1368,52251
"24","02/14/2020",66292,7973,1520,56799
"25","02/15/2020",68347,9294,1662,57391
"26","02/16/2020",70446,10748,1765,57933
"27","02/17/2020",72364,12455,1863,58046
"28","02/18/2020",74139,14199,2002,57938
"29","02/19/2020",74546,15952,2114,56480
"30","02/20/2020",74999,18002,2236,54761
"31","02/21/2020",75472,18693,2236,54543
"32","02/22/2020",76922,22687,2441,51794
"33","02/23/2020",76938,23170,2443,51325
"34","02/24/2020",77152,24990,2593,49569
"35","02/25/2020",77660,27650,2663,47347
"36","02/26/2020",78065,30053,2715,45297
"37","02/27/2020",78498,32898,2744,42856
"38","02/28/2020",78824,36291,2788,39745
"39","02/29/2020",79251,39279,2835,37137
"40","03/01/2020",79826,42118,2870,34838
"41","03/02/2020",80026,44810,2912,32304
"42","03/03/2020",80151,47404,2945,29802
"43","03/04/2020",80271,49955,2981,27335
"44","03/05/2020",80422,52240,3013,25169
"45","03/06/2020",80573,53888,3042,23643
"46","03/07/2020",80652,55478,3070,22104
"47","03/08/2020",80699,57320,3097,20282
"48","03/09/2020",80735,58735,3120,18880
"49","03/10/2020",80757,60106,3136,17515
"50","03/11/2020",80785,61569,3158,16058
"51","03/12/2020",80793,62824,3169,14800
"52","03/13/2020",80801,64109,3176,13516
"53","03/14/2020",80827,65572,3189,12066
"54","03/15/2020",80848,66926,3199,10723
"55","03/16/2020",80867,67816,3213,9838
"56","03/17/2020",80884,68700,3226,8958
"57","03/18/2020",80906,69653,3237,8016
"58","03/19/2020",80931,70430,3245,7256
"59","03/20/2020",80977,71158,3249,6570
"60","03/21/2020",81014,71749,3255,6010
