"","ObservationDate","Confirmed","Recovered","Deaths","Active"
"1","01/31/2020",2,0,0,2
"2","02/01/2020",2,0,0,2
"3","02/02/2020",2,0,0,2
"4","02/03/2020",2,0,0,2
"5","02/04/2020",2,0,0,2
"6","02/05/2020",2,0,0,2
"7","02/06/2020",2,0,0,2
"8","02/07/2020",3,0,0,3
"9","02/08/2020",3,0,0,3
"10","02/09/2020",3,0,0,3
"11","02/10/2020",3,0,0,3
"12","02/11/2020",3,0,0,3
"13","02/12/2020",3,0,0,3
"14","02/13/2020",3,0,0,3
"15","02/14/2020",3,0,0,3
"16","02/15/2020",3,0,0,3
"17","02/16/2020",3,0,0,3
"18","02/17/2020",3,0,0,3
"19","02/18/2020",3,0,0,3
"20","02/19/2020",3,0,0,3
"21","02/20/2020",3,0,0,3
"22","02/21/2020",20,0,1,19
"23","02/22/2020",62,1,2,59
"24","02/23/2020",155,2,3,150
"25","02/24/2020",229,1,7,221
"26","02/25/2020",322,1,10,311
"27","02/26/2020",453,3,12,438
"28","02/27/2020",655,45,17,593
"29","02/28/2020",888,46,21,821
"30","02/29/2020",1128,46,29,1053
"31","03/01/2020",1694,83,34,1577
"32","03/02/2020",2036,149,52,1835
"33","03/03/2020",2502,160,79,2263
"34","03/04/2020",3089,276,107,2706
"35","03/05/2020",3858,414,148,3296
"36","03/06/2020",4636,523,197,3916
"37","03/07/2020",5883,589,233,5061
"38","03/08/2020",7375,622,366,6387
"39","03/09/2020",9172,724,463,7985
"40","03/10/2020",10149,724,631,8794
"41","03/11/2020",12462,1045,827,10590
"42","03/12/2020",12462,1045,827,10590
"43","03/13/2020",17660,1439,1266,14955
"44","03/14/2020",21157,1966,1441,17750
"45","03/15/2020",24747,2335,1809,20603
"46","03/16/2020",27980,2749,2158,23073
"47","03/17/2020",31506,2941,2503,26062
"48","03/18/2020",35713,4025,2978,28710
"49","03/19/2020",41035,4440,3405,33190
"50","03/20/2020",47021,4440,4032,38549
"51","03/21/2020",53578,6072,4825,42681
"52","03/22/2020",59138,7024,5476,46638
"53","03/23/2020",63927,7432,6077,50418
"54","03/24/2020",69176,8326,6820,54030
"55","03/25/2020",74386,9362,7503,57521
"56","03/26/2020",80589,10361,8215,62013
"57","03/27/2020",86498,10950,9134,66414
"58","03/28/2020",92472,12384,10023,70065
"59","03/29/2020",97689,13030,10779,73880
"60","03/30/2020",101739,14620,11591,75528
"61","03/31/2020",105792,15729,12428,77635
"62","04/01/2020",110574,16847,13155,80572
"63","04/02/2020",115242,18278,13915,83049
"64","04/03/2020",119827,19758,14681,85388
"65","04/04/2020",124632,20996,15362,88274
"66","04/05/2020",128948,21815,15887,91246
"67","04/06/2020",132547,22837,16523,93187
"68","04/07/2020",135586,24392,17127,94067
"69","04/08/2020",139422,26491,17669,95262
"70","04/09/2020",143626,28470,18279,96877
"71","04/10/2020",147577,30455,18849,98273
"72","04/11/2020",152271,32534,19468,100269
"73","04/12/2020",156363,34211,19899,102253
"74","04/13/2020",159516,35435,20465,103616
"75","04/14/2020",162488,37130,21067,104291
"76","04/15/2020",165155,38092,21645,105418
"77","04/16/2020",168941,40164,22170,106607
"78","04/17/2020",172434,42727,22745,106962
"79","04/18/2020",175925,44927,23227,107771
"80","04/19/2020",178972,47055,23660,108257
"81","04/20/2020",181228,48877,24114,108237
"82","04/21/2020",183957,51600,24648,107709
"83","04/22/2020",187327,54543,25085,107699
"84","04/23/2020",189973,57576,25549,106848
"85","04/24/2020",192994,60498,25969,106527
"86","04/25/2020",195351,63120,26384,105847
"87","04/26/2020",197675,64928,26644,106103
"88","04/27/2020",199414,66624,26977,105813
"89","04/28/2020",201505,68941,27359,105205
"90","04/29/2020",203591,71252,27682,104657
"91","04/30/2020",205463,75945,27967,101551
"92","05/01/2020",207428,78249,28236,100943
"93","05/02/2020",209328,79914,28710,100704
"94","05/03/2020",210717,81654,28884,100179
"95","05/04/2020",211938,82879,29079,99980
"96","05/05/2020",213013,85231,29315,98467
"97","05/06/2020",214457,93245,29684,91528
"98","05/07/2020",215858,96276,29958,89624
"99","05/08/2020",217185,99023,30201,87961
"100","05/09/2020",218268,103031,30395,84842
"101","05/10/2020",219070,105186,30560,83324
"102","05/11/2020",219814,106587,30739,82488
"103","05/12/2020",221216,109039,30911,81266
"104","05/13/2020",222104,112541,31106,78457
"105","05/14/2020",223096,115288,31368,76440
"106","05/15/2020",223885,120205,31610,72070
"107","05/16/2020",224760,122810,31763,70187
"108","05/17/2020",225435,125176,31908,68351
"109","05/18/2020",225886,127326,32007,66553
"110","05/19/2020",226699,129401,32169,65129
"111","05/20/2020",227364,132282,32330,62752
"112","05/21/2020",228006,134560,32486,60960
"113","05/22/2020",228658,136720,32616,59322
"114","05/23/2020",229327,138840,32735,57752
"115","05/24/2020",229858,140479,32785,56594
"116","05/25/2020",230158,141981,32877,55300
"117","05/26/2020",230555,144658,32955,52942
"118","05/27/2020",231139,147101,33072,50966
