"","ObservationDate","Confirmed","Recovered","Deaths","Active"
"1","01/22/2020",1,0,0,1
"2","01/23/2020",1,0,0,1
"3","01/24/2020",2,0,0,2
"4","01/25/2020",2,0,0,2
"5","01/26/2020",3,0,0,3
"6","01/27/2020",4,0,0,4
"7","01/28/2020",4,0,0,4
"8","01/29/2020",4,0,0,4
"9","01/30/2020",4,0,0,4
"10","01/31/2020",11,0,0,11
"11","02/01/2020",12,0,0,12
"12","02/02/2020",15,0,0,15
"13","02/03/2020",15,0,0,15
"14","02/04/2020",16,0,0,16
"15","02/05/2020",19,0,0,19
"16","02/06/2020",23,0,0,23
"17","02/07/2020",24,1,0,23
"18","02/08/2020",24,1,0,23
"19","02/09/2020",25,3,0,22
"20","02/10/2020",27,3,0,24
"21","02/11/2020",28,3,0,25
"22","02/12/2020",28,7,0,21
"23","02/13/2020",28,7,0,21
"24","02/14/2020",28,7,0,21
"25","02/15/2020",28,9,0,19
"26","02/16/2020",29,9,0,20
"27","02/17/2020",30,10,0,20
"28","02/18/2020",31,12,0,19
"29","02/19/2020",31,12,0,19
"30","02/20/2020",104,16,1,87
"31","02/21/2020",204,16,2,186
"32","02/22/2020",433,16,2,415
"33","02/23/2020",602,18,6,578
"34","02/24/2020",833,18,8,807
"35","02/25/2020",977,22,10,945
"36","02/26/2020",1261,22,12,1227
"37","02/27/2020",1766,22,13,1731
"38","02/28/2020",2337,22,13,2302
"39","02/29/2020",3150,27,16,3107
"40","03/01/2020",3736,30,17,3689
"41","03/02/2020",4335,30,28,4277
"42","03/03/2020",5186,30,28,5128
"43","03/04/2020",5621,41,35,5545
"44","03/05/2020",6088,41,35,6012
"45","03/06/2020",6593,135,42,6416
"46","03/07/2020",7041,135,44,6862
"47","03/08/2020",7314,118,50,7146
"48","03/09/2020",7478,118,53,7307
"49","03/10/2020",7513,247,54,7212
"50","03/11/2020",7755,288,60,7407
"51","03/12/2020",7869,333,66,7470
"52","03/13/2020",7979,510,66,7403
"53","03/14/2020",8086,510,72,7504
"54","03/15/2020",8162,510,75,7577
"55","03/16/2020",8236,1137,75,7024
"56","03/17/2020",8320,1407,81,6832
"57","03/18/2020",8413,1540,84,6789
"58","03/19/2020",8565,1540,91,6934
"59","03/20/2020",8652,1540,94,7018
"60","03/21/2020",8799,1540,102,7157
"61","03/22/2020",8897,2909,104,5884
"62","03/23/2020",8961,3166,111,5684
"63","03/24/2020",9037,3507,120,5410
"64","03/25/2020",9137,3730,126,5281
"65","03/26/2020",9241,4144,131,4966
"66","03/27/2020",9332,4528,139,4665
"67","03/28/2020",9478,4811,144,4523
"68","03/29/2020",9583,5033,152,4398
"69","03/30/2020",9661,5228,158,4275
"70","03/31/2020",9786,5408,162,4216
"71","04/01/2020",9887,5567,165,4155
"72","04/02/2020",9976,5828,169,3979
"73","04/03/2020",10062,6021,174,3867
"74","04/04/2020",10156,6325,177,3654
"75","04/05/2020",10237,6463,183,3591
"76","04/06/2020",10284,6598,186,3500
"77","04/07/2020",10331,6694,192,3445
"78","04/08/2020",10384,6776,200,3408
"79","04/09/2020",10423,6973,204,3246
"80","04/10/2020",10450,7117,208,3125
"81","04/11/2020",10480,7243,211,3026
"82","04/12/2020",10512,7368,214,2930
"83","04/13/2020",10537,7447,217,2873
"84","04/14/2020",10564,7534,222,2808
"85","04/15/2020",10591,7616,225,2750
"86","04/16/2020",10613,7757,229,2627
"87","04/17/2020",10635,7829,230,2576
"88","04/18/2020",10653,7937,232,2484
"89","04/19/2020",10661,8042,234,2385
"90","04/20/2020",10674,8114,236,2324
"91","04/21/2020",10683,8213,237,2233
"92","04/22/2020",10694,8277,238,2179
"93","04/23/2020",10708,8501,240,1967
"94","04/24/2020",10718,8635,240,1843
"95","04/25/2020",10728,8717,242,1769
"96","04/26/2020",10738,8764,243,1731
"97","04/27/2020",10752,8854,244,1654
"98","04/28/2020",10761,8922,246,1593
"99","04/29/2020",10765,9059,247,1459
"100","04/30/2020",10774,9072,248,1454
"101","05/01/2020",10780,9123,250,1407
"102","05/02/2020",10793,9183,250,1360
"103","05/03/2020",10801,9217,252,1332
"104","05/04/2020",10804,9283,254,1267
"105","05/05/2020",10806,9333,255,1218
"106","05/06/2020",10810,9419,256,1135
"107","05/07/2020",10822,9484,256,1082
"108","05/08/2020",10840,9568,256,1016
"109","05/09/2020",10874,9610,256,1008
"110","05/10/2020",10909,9632,256,1021
"111","05/11/2020",10936,9670,258,1008
"112","05/12/2020",10962,9695,259,1008
"113","05/13/2020",10991,9762,260,969
"114","05/14/2020",11018,9821,260,937
"115","05/15/2020",11037,9851,262,924
"116","05/16/2020",11050,9888,262,900
"117","05/17/2020",11065,9904,263,898
"118","05/18/2020",11078,9938,263,877
"119","05/19/2020",11110,10066,263,781
"120","05/20/2020",11122,10135,264,723
"121","05/21/2020",11142,10162,264,716
"122","05/22/2020",11165,10194,266,705
"123","05/23/2020",11190,10213,266,711
"124","05/24/2020",11206,10226,267,713
"125","05/25/2020",11225,10275,269,681
"126","05/26/2020",11265,10295,269,701
"127","05/27/2020",11344,10340,269,735
"128","05/28/2020",11402,10363,269,770
"129","05/29/2020",11441,10398,269,774
"130","05/30/2020",11468,10405,270,793
"131","05/31/2020",11503,10422,271,810
"132","06/01/2020",11541,10446,272,823
"133","06/02/2020",11590,10467,273,850
"134","06/03/2020",11629,10499,273,857
"135","06/04/2020",11668,10506,273,889
"136","06/05/2020",11719,10531,273,915
"137","06/06/2020",11776,10552,273,951
"138","06/07/2020",11814,10563,273,978
"139","06/08/2020",11852,10589,274,989
"140","06/09/2020",11902,10611,276,1015
"141","06/10/2020",11947,10654,276,1017
"142","06/11/2020",12003,10669,277,1057
"143","06/12/2020",12051,10691,277,1083
"144","06/13/2020",12085,10718,277,1090
"145","06/14/2020",12121,10730,277,1114
"146","06/15/2020",12155,10760,278,1117
"147","06/16/2020",12198,10774,279,1145
"148","06/17/2020",12257,10800,280,1177
"149","06/18/2020",12306,10835,280,1191
"150","06/19/2020",12373,10856,280,1237
"151","06/20/2020",12421,10868,280,1273
"152","06/21/2020",12438,10881,280,1277
"153","06/22/2020",12484,10908,281,1295
"154","06/23/2020",12535,10930,281,1324
"155","06/24/2020",12563,10974,282,1307
"156","06/25/2020",12602,11172,282,1148
"157","06/26/2020",12653,11317,282,1054
"158","06/27/2020",12715,11364,282,1069
"159","06/28/2020",12757,11429,282,1046
"160","06/29/2020",12800,11537,282,981
"161","06/30/2020",12850,11613,282,955
"162","07/01/2020",12904,11684,282,938
"163","07/02/2020",12967,11759,282,926
"164","07/03/2020",13030,11811,283,936
"165","07/04/2020",13091,11832,283,976
"166","07/05/2020",13137,11848,284,1005
"167","07/06/2020",13181,11914,285,982
"168","07/07/2020",13244,11970,285,989
"169","07/08/2020",13293,12019,287,987
