"","ObservationDate","Confirmed","Recovered","Deaths","Active"
"1","03/14/2020",2,0,0,2
"2","03/15/2020",10,0,0,10
"3","03/16/2020",17,0,0,17
"4","03/17/2020",33,0,0,33
"5","03/18/2020",36,0,0,36
"6","03/19/2020",42,0,0,42
"7","03/20/2020",42,0,0,42
"8","03/21/2020",70,0,0,70
"9","03/22/2020",70,15,0,55
"10","03/23/2020",77,15,0,62
"11","03/24/2020",84,15,0,69
"12","03/25/2020",91,15,0,76
"13","03/26/2020",107,15,0,92
"14","03/27/2020",107,31,1,75
"15","03/28/2020",119,39,2,78
"16","03/29/2020",119,39,2,78
"17","03/30/2020",135,39,3,93
"18","03/31/2020",135,39,3,93
"19","04/01/2020",143,41,3,99
"20","04/02/2020",146,43,5,98
"21","04/03/2020",153,52,7,94
"22","04/04/2020",155,52,7,96
"23","04/05/2020",159,52,7,100
"24","04/06/2020",165,65,7,93
"25","04/07/2020",165,65,7,93
"26","04/08/2020",167,65,9,93
"27","04/09/2020",171,84,9,78
"28","04/10/2020",171,84,9,78
"29","04/11/2020",175,93,9,73
"30","04/12/2020",181,93,9,79
"31","04/13/2020",189,110,9,70
"32","04/14/2020",189,110,9,70
"33","04/15/2020",197,111,9,77
"34","04/16/2020",204,111,9,84
"35","04/17/2020",204,111,9,84
"36","04/18/2020",227,113,9,105
"37","04/19/2020",256,117,9,130
"38","04/20/2020",256,117,9,130
"39","04/21/2020",285,117,10,158
"40","04/22/2020",288,122,10,156
"41","04/23/2020",311,126,10,175
"42","04/24/2020",318,132,10,176
"43","04/25/2020",323,132,10,181
"44","04/26/2020",325,137,10,178
"45","04/27/2020",329,142,10,177
"46","04/28/2020",329,142,10,177
"47","04/29/2020",331,142,10,179
"48","04/30/2020",333,142,16,175
"49","05/01/2020",335,148,10,177
"50","05/02/2020",345,148,10,187
"51","05/03/2020",357,158,10,189
"52","05/04/2020",357,158,10,189
"53","05/05/2020",361,158,10,193
"54","05/06/2020",379,176,10,193
"55","05/07/2020",381,185,10,186
"56","05/08/2020",388,190,10,188
"57","05/09/2020",402,190,10,202
"58","05/10/2020",414,193,10,211
"59","05/11/2020",422,205,10,207
"60","05/12/2020",423,220,10,193
"61","05/13/2020",423,220,10,193
"62","05/14/2020",455,220,10,225
"63","05/15/2020",459,229,10,220
"64","05/16/2020",504,241,10,253
"65","05/17/2020",541,241,10,290
"66","05/18/2020",618,253,10,355
"67","05/19/2020",749,253,10,486
"68","05/20/2020",824,262,10,552
"69","05/21/2020",882,262,10,610
"70","05/22/2020",944,262,10,672
"71","05/23/2020",1010,262,10,738
"72","05/24/2020",1121,262,10,849
"73","05/25/2020",1177,302,10,865
"74","05/26/2020",1211,302,11,898
"75","05/27/2020",1245,302,11,932
"76","05/28/2020",1325,302,11,1012
"77","05/29/2020",1370,302,14,1054
"78","05/30/2020",1459,302,14,1143
"79","05/31/2020",1510,302,14,1194
"80","06/01/2020",1662,302,17,1343
"81","06/02/2020",1819,334,18,1467
"82","06/03/2020",1952,334,20,1598
"83","06/04/2020",2087,334,20,1733
"84","06/05/2020",2145,334,20,1791
"85","06/06/2020",2316,385,22,1909
"86","06/07/2020",2377,487,22,1868
"87","06/08/2020",2473,487,22,1964
"88","06/09/2020",2632,487,23,2122
"89","06/10/2020",2738,487,23,2228
"90","06/11/2020",2814,487,23,2304
"91","06/12/2020",2879,487,23,2369
"92","06/13/2020",2904,487,24,2393
"93","06/14/2020",2978,835,25,2118
"94","06/15/2020",3062,835,26,2201
"95","06/16/2020",3150,835,27,2288
"96","06/17/2020",3386,835,28,2523
"97","06/18/2020",3483,835,28,2620
"98","06/19/2020",3591,835,30,2726
"99","06/20/2020",3789,835,33,2921
"100","06/21/2020",3917,835,33,3049
"101","06/22/2020",4048,1327,35,2686
"102","06/23/2020",4187,1327,35,2825
"103","06/24/2020",4366,1327,38,3001
"104","06/25/2020",4563,1327,39,3197
"105","06/26/2020",4779,1327,41,3411
"106","06/27/2020",5130,1327,42,3761
"107","06/28/2020",5297,1649,44,3604
"108","06/29/2020",5530,1649,48,3833
"109","06/30/2020",5832,1649,51,4132
"110","07/01/2020",6062,1649,54,4359
"111","07/02/2020",6273,2100,57,4116
"112","07/03/2020",6537,2100,59,4378
"113","07/04/2020",6750,2100,62,4588
"114","07/05/2020",7169,2100,65,5004
"115","07/06/2020",7411,2100,68,5243
"116","07/07/2020",7693,2100,71,5522
"117","07/08/2020",8008,2100,75,5833
